epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,127,1.37862,2.10361,1.5208,0.79126,0.2342,0.45044,0.22021,1.43916,3.0548,1.85649,0.000649123,0.000649123,0.000649123
2,233.671,1.47992,1.70849,1.56275,0.38732,0.47584,0.32131,0.13514,1.66189,2.93811,2.39856,0.00130276,0.00130276,0.00130276
3,359.166,1.4789,1.66934,1.60177,0.4711,0.44039,0.39774,0.1554,1.87955,3.01547,2.65077,0.0019432,0.0019432,0.0019432
4,490.665,1.53333,1.64445,1.64268,0.54951,0.47584,0.46053,0.19326,1.96274,3.18935,3.13346,0.0019406,0.0019406,0.0019406
5,620.666,1.59298,1.5757,1.64554,0.56691,0.51095,0.52543,0.21786,1.77208,2.29666,2.24924,0.0019208,0.0019208,0.0019208
6,742.856,1.53736,1.5104,1.62857,0.58411,0.56877,0.56161,0.23897,1.88733,1.94079,2.39509,0.001901,0.001901,0.001901
7,869.083,1.5164,1.37739,1.59542,0.53245,0.47584,0.46513,0.19367,2.07584,2.50287,3.05854,0.0018812,0.0018812,0.0018812
8,981.557,1.47572,1.33514,1.57687,0.70142,0.40892,0.48515,0.21224,1.90899,2.11675,2.32839,0.0018614,0.0018614,0.0018614
9,1105,1.46386,1.23917,1.56899,0.70619,0.688,0.73551,0.3863,1.56287,1.5928,1.95287,0.0018416,0.0018416,0.0018416
10,1209.28,1.46684,1.19931,1.56602,0.82829,0.69935,0.7973,0.40051,1.59268,1.33158,1.97055,0.0018218,0.0018218,0.0018218
11,1340.9,1.45312,1.25781,1.54161,0.79184,0.70707,0.78755,0.39664,1.65153,1.29379,1.96386,0.001802,0.001802,0.001802
12,1461.59,1.41628,1.18554,1.51526,0.68653,0.67658,0.7209,0.36751,1.62691,1.43444,1.9083,0.0017822,0.0017822,0.0017822
13,1564.11,1.42468,1.13594,1.53293,0.79376,0.69888,0.78403,0.39517,1.59728,1.25939,1.90303,0.0017624,0.0017624,0.0017624
14,1669.79,1.45327,1.10668,1.50556,0.53594,0.57961,0.55801,0.26042,1.85315,1.72596,2.06737,0.0017426,0.0017426,0.0017426
15,1802.94,1.44449,1.10453,1.51575,0.75808,0.70632,0.75875,0.41139,1.48304,1.33245,1.85214,0.0017228,0.0017228,0.0017228
